carat,cut,color,clarity,depth,table,x,y,z,price
1.0,Very Good,F,VS1,60.4,59.0,6.4,6.51,3.9,7204
0.59,Very Good,J,VS2,61.9,58.0,5.35,5.38,3.32,1287
0.9,Very Good,G,VS1,62.4,58.0,6.14,6.16,3.84,4297
1.04,Ideal,H,VS2,61.0,57.0,6.56,6.53,3.99,5189
1.06,Very Good,H,SI1,59.3,59.0,6.66,6.7,3.96,5664
0.55,Ideal,E,SI1,62.5,56.0,5.21,5.25,3.27,1609
0.4,Very Good,E,SI1,61.4,58.0,4.77,4.81,2.94,687
0.51,Ideal,H,IF,62.6,56.0,5.1,5.13,3.2,1920
0.7,Ideal,F,VS2,62.8,56.0,5.7,5.67,3.57,2573
0.38,Premium,D,VVS1,60.4,59.0,4.7,4.71,2.84,1400
0.7,Very Good,E,VS2,61.4,57.0,5.7,5.73,3.51,2553
2.01,Ideal,I,SI2,62.5,55.0,8.12,8.08,5.06,13777
1.0,Very Good,F,VS2,61.1,60.0,6.36,6.43,3.91,6619
0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,3211
0.52,Ideal,E,VS2,61.5,56.0,5.2,5.18,3.19,1694
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6467
0.51,Premium,G,VS2,62.3,59.0,5.1,5.07,3.17,1546
1.11,Ideal,G,IF,61.2,54.0,6.71,6.73,4.11,10053
0.58,Ideal,E,VS2,61.9,57.0,5.33,5.37,3.31,1884
0.93,Good,G,SI1,63.8,58.0,6.09,6.14,3.9,4452
1.11,Very Good,I,SI2,63.1,57.0,6.59,6.54,4.14,4075
0.3,Ideal,F,VVS1,61.8,54.0,4.34,4.36,2.69,857
2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,16280
1.11,Premium,D,VS2,59.5,60.0,6.77,6.7,4.01,6579
1.02,Very Good,E,SI1,63.5,55.0,6.3,6.37,4.02,5245
1.01,Ideal,E,VVS2,62.7,56.0,6.42,6.46,4.04,9735
0.26,Premium,E,VVS1,61.7,59.0,4.1,4.14,2.54,599
0.44,Good,D,VS2,63.6,56.0,4.81,4.84,3.07,1009
0.84,Premium,F,SI2,62.3,59.0,6.06,6.01,3.76,2863
0.98,Good,F,SI1,56.8,64.0,6.68,6.52,3.75,4226
0.41,Ideal,E,VVS2,62.2,54.0,4.76,4.79,2.97,1187
0.7,Premium,F,SI2,61.6,60.0,5.78,5.68,3.53,1597
0.55,Very Good,E,SI1,61.0,61.0,5.25,5.3,3.22,1551
1.01,Ideal,E,VS2,61.6,57.0,6.43,6.46,3.97,7198
0.58,Ideal,G,SI2,62.0,57.0,5.35,5.29,3.3,1134
1.17,Very Good,D,SI2,60.9,60.0,6.72,6.78,4.11,6062
0.3,Ideal,E,VVS1,62.5,56.0,4.28,4.3,2.68,862
0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,1105
0.55,Ideal,G,VS2,60.1,55.0,5.33,5.37,3.22,1634
1.0,Good,F,SI2,63.8,58.0,6.33,6.28,4.02,4155
0.48,Good,G,VS1,58.6,62.0,5.14,5.2,3.03,1199
0.31,Ideal,G,SI1,62.8,55.0,4.38,4.32,2.73,593
0.61,Ideal,E,VVS2,62.1,54.2,5.43,5.45,3.38,2907
0.71,Premium,I,VS2,60.4,60.0,5.8,5.72,3.48,2300
1.82,Premium,I,VS1,61.4,60.0,7.8,7.83,4.8,13813
0.4,Premium,E,SI1,61.0,59.0,4.74,4.71,2.88,882
0.32,Ideal,G,VVS2,61.6,56.0,4.42,4.44,2.73,708
0.31,Premium,G,VVS2,62.9,58.0,4.31,4.27,2.7,907
0.37,Very Good,H,VS1,59.8,59.0,4.66,4.7,2.8,695
1.35,Fair,I,VS2,61.6,62.0,7.15,7.1,4.39,7182
0.31,Ideal,D,VS1,60.6,57.0,4.36,4.39,2.65,713
0.34,Ideal,D,VS2,62.1,55.0,4.49,4.46,2.78,923
0.52,Ideal,H,SI1,61.9,56.0,5.16,5.22,3.2,1098
0.51,Ideal,D,SI1,62.6,57.0,5.11,5.08,3.19,1619
0.3,Ideal,D,VVS1,61.1,57.0,4.36,4.34,2.66,1069
1.11,Good,D,SI1,57.8,61.0,6.83,6.78,3.93,6088
1.3,Ideal,H,VS1,61.3,59.0,6.97,7.03,4.29,8915
0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,650
1.01,Very Good,D,SI2,59.1,63.0,6.54,6.59,3.88,3605
0.67,Premium,G,VS2,61.0,57.0,5.68,5.63,3.45,2050
0.5,Very Good,E,SI1,60.7,61.0,5.09,5.13,3.1,1354
1.5,Good,H,SI1,60.8,60.0,7.28,7.38,4.46,9336
0.3,Ideal,H,SI1,62.2,53.0,4.29,4.32,2.68,514
0.43,Ideal,H,IF,61.9,55.0,4.87,4.89,3.02,1151
0.57,Ideal,H,VS1,61.3,55.1,5.34,5.42,3.29,1720
0.75,Ideal,G,SI1,62.2,57.0,5.8,5.84,3.62,2456
0.55,Ideal,G,VS2,60.4,56.0,5.38,5.31,3.23,1854
0.7,Ideal,F,SI2,62.1,57.0,5.65,5.69,3.52,2398
1.04,Ideal,J,SI2,60.4,57.0,6.55,6.6,3.97,3762
1.13,Ideal,G,VVS2,61.5,57.0,6.67,6.71,4.12,8889
1.03,Ideal,F,VVS1,61.3,54.0,6.56,6.62,4.04,9881
0.71,Very Good,E,VS2,62.9,57.0,5.68,5.7,3.58,2964
1.01,Good,G,SI1,63.2,59.0,6.32,6.36,4.01,5021
0.64,Very Good,H,SI2,64.2,58.0,5.43,5.48,3.5,1292
0.71,Ideal,G,SI1,61.6,56.0,5.73,5.76,3.54,2649
2.01,Good,G,SI2,63.6,59.0,8.0,7.95,5.07,15977
1.51,Very Good,F,VVS2,63.1,56.0,7.32,7.26,4.6,17317
0.75,Premium,J,SI1,61.7,56.0,5.92,5.81,3.62,1958
0.77,Ideal,F,SI2,61.3,56.0,5.89,5.92,3.62,2729
1.15,Very Good,H,SI2,63.0,54.0,6.64,6.73,4.21,4483
1.53,Very Good,J,SI1,61.7,58.0,7.43,7.47,4.6,7730
1.52,Premium,E,SI2,62.9,59.0,7.31,7.26,4.58,9576
0.33,Very Good,H,SI1,63.0,57.0,4.39,4.41,2.77,475
1.11,Good,D,SI2,58.0,62.0,6.77,6.81,3.94,5015
1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585
1.08,Ideal,F,VS2,62.3,54.0,6.6,6.56,4.1,7917
0.3,Premium,G,VS2,60.6,61.0,4.32,4.29,2.61,675
2.02,Very Good,H,SI2,62.3,58.0,7.97,8.04,4.99,15064
0.71,Ideal,D,VS2,62.1,56.0,5.71,5.75,3.56,3321
1.54,Ideal,H,VVS2,62.6,56.0,7.35,7.42,4.62,12061
0.92,Premium,J,VS2,60.9,62.0,6.31,6.26,3.83,3091
1.01,Very Good,F,VS2,62.5,56.0,6.4,6.44,4.01,6083
0.4,Ideal,E,VS2,62.4,56.0,4.74,4.71,2.95,975
0.71,Very Good,F,VS1,62.8,56.0,5.69,5.72,3.58,2889
0.9,Ideal,F,VS2,60.5,54.0,6.22,6.17,3.75,4531
1.7,Fair,H,SI2,64.5,55.0,7.58,7.52,4.87,9682
0.32,Premium,G,VS1,61.7,58.0,4.41,4.38,2.71,828
0.3,Ideal,D,VS1,62.2,57.0,4.26,4.29,2.66,718
0.5,Ideal,F,SI1,62.7,56.0,5.12,5.05,3.19,1286
0.5,Very Good,H,SI1,60.9,61.0,5.06,5.15,3.11,1133
1.51,Premium,H,VS1,59.8,61.0,7.41,7.35,4.41,9234
1.51,Very Good,G,VS2,58.9,60.0,7.47,7.55,4.42,12756
0.52,Ideal,G,VS2,61.9,55.0,5.15,5.19,3.2,1586
0.34,Ideal,F,VS1,62.1,57.0,4.53,4.49,2.8,956
0.35,Very Good,E,VS2,58.9,59.0,4.59,4.64,2.72,767
0.41,Premium,F,VS1,58.6,61.0,4.87,4.83,2.84,1076
0.7,Good,E,SI1,63.2,57.0,5.61,5.63,3.55,2496
0.41,Ideal,G,VS1,60.8,57.0,4.84,4.8,2.93,961
1.3,Good,J,SI2,62.9,56.0,6.9,6.94,4.35,5124
0.31,Ideal,G,IF,61.4,55.0,4.35,4.38,2.68,891
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2259
0.91,Ideal,E,SI1,61.4,54.0,6.26,6.24,3.84,5252
0.4,Ideal,G,VS1,61.3,55.0,4.75,4.78,2.92,877
1.5,Good,G,VS1,63.8,58.0,7.21,7.12,4.57,13720
0.58,Very Good,D,SI1,63.5,58.0,5.29,5.32,3.37,1720
0.71,Premium,G,SI2,60.8,59.0,5.7,5.74,3.48,2913
0.24,Very Good,F,VVS1,58.7,59.0,4.04,4.1,2.39,552
0.7,Premium,G,VVS2,59.6,61.0,5.86,5.78,3.47,2737
0.41,Premium,E,SI2,62.8,58.0,4.73,4.69,2.96,818
0.35,Ideal,D,SI2,62.4,55.0,4.53,4.54,2.83,522
1.01,Premium,F,VS1,61.7,58.0,6.43,6.4,3.96,7507
0.43,Very Good,F,VS2,61.3,59.0,4.81,4.84,2.96,905
1.59,Premium,J,SI1,62.5,60.0,7.46,7.42,4.65,7836
0.7,Fair,H,VS2,64.9,56.0,5.49,5.51,3.57,1981
0.91,Premium,F,SI2,58.9,61.0,6.36,6.33,3.74,3546
0.37,Ideal,E,SI1,61.4,56.0,4.6,4.65,2.84,606
0.72,Ideal,J,VVS2,61.6,56.0,5.76,5.73,3.54,1996
1.01,Premium,H,VS1,61.6,57.0,6.47,6.38,3.96,5147
0.9,Good,G,VS1,63.6,58.0,6.09,6.12,3.88,4540
1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,12098
0.59,Ideal,E,SI1,61.7,56.0,5.35,5.45,3.33,1633
0.33,Premium,D,VVS1,61.8,58.0,4.4,4.43,2.73,1129
2.01,Ideal,I,SI1,59.9,60.0,8.27,8.2,4.93,17126
1.14,Very Good,F,SI1,61.0,60.0,6.67,6.74,4.09,5819
0.31,Premium,G,VVS1,62.1,59.0,4.35,4.32,2.69,1046
1.09,Good,D,IF,58.7,61.0,6.75,6.85,3.99,16406
1.65,Premium,G,I1,62.0,59.0,7.53,7.57,4.68,6788
0.5,Ideal,G,VVS1,62.1,53.5,5.08,5.13,3.17,1865
1.04,Ideal,F,SI1,61.3,56.0,6.51,6.55,4.0,5495
1.03,Premium,G,VS2,62.2,56.0,6.51,6.48,4.04,5814
1.69,Ideal,D,SI1,60.8,57.0,7.69,7.71,4.68,15011
0.82,Ideal,D,SI1,61.9,56.0,5.99,6.02,3.72,4113
0.3,Ideal,H,SI1,61.9,57.0,4.3,4.32,2.67,450
1.51,Premium,F,VS2,61.6,58.0,7.35,7.32,4.52,14817
1.05,Ideal,D,SI2,61.9,56.0,6.5,6.53,4.03,5110
0.31,Ideal,G,IF,61.8,55.0,4.35,4.39,2.7,891
1.0,Very Good,F,SI1,59.4,60.0,6.47,6.52,3.86,4961
0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1726
1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39,7644
0.33,Ideal,H,VS1,61.9,56.0,4.44,4.48,2.76,579
0.3,Very Good,E,VVS1,60.5,57.0,4.37,4.39,2.65,862
1.5,Ideal,G,SI1,61.0,57.0,7.38,7.41,4.51,12009
0.32,Ideal,D,VS2,62.1,54.0,4.4,4.46,2.75,758
0.32,Very Good,H,VS1,63.0,57.0,4.37,4.39,2.76,561
1.29,Ideal,H,VS1,61.8,56.0,6.97,7.02,4.32,9273
0.8,Premium,F,VS2,62.4,59.0,5.92,5.85,3.67,3285
0.25,Very Good,E,VVS1,62.9,59.0,3.99,4.02,2.52,576
0.51,Ideal,F,SI1,61.2,56.0,5.19,5.21,3.18,1322
0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,1622
0.32,Ideal,D,VS1,60.9,57.0,4.48,4.45,2.72,1114
1.04,Ideal,E,SI2,62.0,55.0,6.51,6.48,4.03,4892
0.33,Ideal,H,VS1,62.0,55.0,4.46,4.44,2.76,743
0.4,Very Good,G,VS1,60.4,57.0,4.76,4.77,2.88,760
0.31,Ideal,G,VVS2,61.8,54.0,4.36,4.38,2.7,687
1.01,Premium,G,VVS2,61.7,59.0,6.44,6.37,3.95,7466
0.77,Ideal,F,SI1,61.5,55.0,5.88,5.92,3.63,3321
0.7,Ideal,D,SI1,62.0,54.0,5.73,5.76,3.56,2726
0.5,Ideal,E,VS2,62.0,56.0,5.1,5.06,3.15,1676
0.9,Very Good,G,VS2,58.8,61.0,6.28,6.3,3.7,4400
1.5,Premium,F,VS2,61.0,58.0,7.37,7.31,4.48,14352
0.7,Very Good,D,SI1,61.0,59.0,5.67,5.7,3.47,2409
0.31,Ideal,E,VVS1,61.7,56.0,4.33,4.36,2.68,924
0.28,Very Good,H,VVS2,62.0,55.0,4.21,4.23,2.62,522
0.33,Ideal,E,VS2,61.0,57.0,4.43,4.46,2.71,723
0.82,Very Good,J,SI2,62.0,58.0,5.93,5.98,3.69,2175
0.39,Good,G,VVS1,61.6,61.0,4.71,4.74,2.91,1041
0.77,Premium,E,VS1,60.8,56.0,5.95,5.9,3.6,3260
0.31,Ideal,G,VS2,62.0,57.0,4.37,4.34,2.7,698
1.06,Ideal,I,VS2,62.3,56.0,6.51,6.56,4.07,4449
0.61,Ideal,E,VVS2,61.3,54.0,5.51,5.59,3.4,2823
1.05,Premium,E,SI1,61.8,56.0,6.57,6.5,4.04,5821
2.03,Premium,E,SI2,61.5,59.0,8.16,8.24,5.04,18310
1.0,Good,D,VS2,63.1,56.0,6.36,6.4,4.02,7114
0.79,Ideal,D,SI1,61.2,57.0,5.94,5.98,3.65,3605
0.75,Fair,F,SI2,65.1,57.0,5.7,5.66,3.7,2102
1.0,Very Good,H,VVS1,63.5,60.0,6.36,6.3,4.02,6296
0.4,Premium,E,SI1,62.2,58.0,4.71,4.74,2.94,737
0.72,Ideal,E,VS2,62.7,55.0,5.76,5.73,3.6,2691
1.0,Ideal,G,VVS2,62.6,55.0,6.37,6.4,4.0,7403
0.3,Ideal,E,VS2,61.8,56.0,4.3,4.34,2.67,658
1.51,Very Good,G,SI1,63.4,58.0,7.19,7.3,4.59,9664
0.46,Ideal,F,SI1,61.6,54.0,4.97,5.0,3.07,983
1.25,Ideal,J,VVS2,62.1,56.0,6.81,6.84,4.24,5980
0.55,Very Good,D,SI1,61.6,56.0,5.24,5.28,3.24,1580
0.91,Good,G,VS1,63.2,58.0,6.07,6.15,3.86,4284
1.5,Very Good,H,SI2,63.3,57.0,7.27,7.21,4.59,6770
0.55,Ideal,E,SI2,61.8,55.0,5.26,5.29,3.26,1273
0.5,Good,E,SI2,63.2,61.0,5.02,5.05,3.18,1000
0.52,Ideal,F,IF,60.3,57.0,5.23,5.28,3.17,2504
0.41,Ideal,F,SI2,61.6,54.0,4.78,4.8,2.95,612
0.38,Ideal,H,VVS1,60.7,56.0,4.75,4.74,2.88,1069
2.03,Ideal,H,SI1,60.8,57.0,8.18,8.24,4.99,17864
0.93,Very Good,G,SI2,62.9,56.0,6.2,6.23,3.91,4163
0.52,Ideal,D,VS2,61.5,56.0,5.15,5.19,3.18,1822
0.52,Premium,E,SI1,60.3,58.0,5.2,5.24,3.15,1369
0.93,Good,I,VS2,58.2,60.0,6.41,6.48,3.75,3946
0.33,Ideal,E,SI1,62.0,54.0,4.41,4.43,2.74,579
0.27,Very Good,D,VVS2,62.3,57.0,4.13,4.15,2.58,622
0.5,Ideal,H,VS2,62.3,54.0,5.11,5.13,3.19,1279
0.31,Ideal,D,VVS2,61.7,54.0,4.38,4.43,2.72,815
1.11,Premium,I,SI1,61.9,58.0,6.63,6.61,4.1,3978
0.33,Premium,G,VS1,61.3,58.0,4.42,4.45,2.72,666
1.02,Good,E,SI2,63.4,57.0,6.41,6.43,4.07,4712
1.01,Premium,G,IF,61.3,58.0,6.48,6.4,3.95,7352
0.36,Ideal,E,SI1,62.1,56.0,4.59,4.56,2.84,810
0.57,Ideal,F,VS2,59.2,57.0,5.45,5.5,3.24,1637
0.71,Ideal,E,VS2,61.7,56.0,5.73,5.75,3.54,2709
1.11,Very Good,I,SI2,62.5,58.0,6.59,6.65,4.14,4442
0.43,Ideal,F,VVS2,62.2,55.0,4.83,4.85,3.01,1169
0.4,Ideal,I,IF,62.4,56.0,4.7,4.73,2.94,982
0.71,Very Good,F,VS2,63.1,58.0,5.65,5.7,3.58,2588
1.01,Ideal,I,SI1,60.0,60.0,6.53,6.57,3.93,4872
1.03,Premium,D,SI2,61.7,58.0,6.5,6.47,4.0,4764
1.12,Very Good,G,VVS2,62.6,59.0,6.58,6.61,4.13,8564
0.41,Ideal,I,VVS1,62.0,54.5,4.77,4.8,2.97,891
1.5,Very Good,E,SI1,59.6,58.0,7.38,7.41,4.41,11586
0.32,Premium,F,VVS1,61.3,58.0,4.37,4.4,2.69,926
0.28,Ideal,H,IF,63.0,55.0,4.14,4.19,2.62,586
1.32,Premium,I,VS1,62.4,58.0,7.01,6.96,4.36,4719
1.19,Very Good,H,SI1,60.8,59.0,6.84,6.87,4.17,5595
0.34,Ideal,E,SI1,61.0,55.0,4.54,4.56,2.77,637
0.7,Very Good,I,SI1,63.2,59.0,5.59,5.62,3.54,1890
0.81,Ideal,F,SI1,61.5,57.0,6.01,6.06,3.71,3422
0.7,Fair,I,SI2,65.9,58.0,5.46,5.5,3.61,1625
0.7,Very Good,D,SI1,62.5,63.0,5.7,5.63,3.54,2374
0.72,Very Good,F,VS1,63.4,57.0,5.68,5.7,3.61,3264
0.91,Very Good,D,SI2,63.4,59.0,6.12,6.15,3.89,3911
0.4,Very Good,I,SI1,63.2,54.0,4.69,4.67,2.96,765
0.37,Ideal,F,VVS1,61.5,56.0,4.59,4.61,2.83,931
0.91,Ideal,I,SI2,61.6,57.0,6.24,6.23,3.84,2981
0.52,Ideal,G,VS1,61.7,57.0,5.16,5.18,3.19,1665
0.33,Ideal,F,VS2,61.1,56.0,4.47,4.5,2.74,804
0.9,Very Good,J,VS1,62.6,55.0,6.11,6.13,3.83,3102
1.06,Premium,E,VS2,62.3,58.0,6.52,6.49,4.05,6838
0.41,Premium,E,SI1,61.8,60.0,4.78,4.74,2.94,904
0.57,Ideal,E,SI2,62.1,55.0,5.34,5.36,3.32,1244
0.71,Ideal,G,SI1,61.9,56.0,5.73,5.76,3.55,3007
0.55,Ideal,E,VS1,61.1,55.0,5.3,5.33,3.25,1975
1.51,Ideal,J,SI1,61.4,57.0,7.38,7.43,4.55,8049
0.35,Ideal,D,VS2,62.3,55.0,4.52,4.54,2.82,829
2.02,Fair,J,SI2,64.6,55.0,7.93,7.84,5.09,9853
0.4,Ideal,H,VS1,61.2,55.0,4.75,4.79,2.92,792
0.95,Premium,E,SI2,60.7,59.0,6.3,6.36,3.84,4142
0.93,Ideal,E,SI1,59.6,57.0,6.37,6.42,3.81,4700
1.5,Premium,G,VS1,60.8,61.0,7.36,7.29,4.45,13720
2.01,Fair,G,VS2,67.5,55.0,7.7,7.79,5.23,17917
0.58,Good,G,SI1,63.5,56.0,5.28,5.34,3.37,1295
0.32,Premium,G,VS1,59.2,59.0,4.47,4.45,2.64,828
1.7,Very Good,I,SI1,63.1,57.0,7.51,7.46,4.72,10341
0.33,Ideal,E,VVS2,61.8,56.0,4.44,4.46,2.75,891
0.31,Ideal,G,SI1,61.8,55.0,4.38,4.42,2.72,493
1.19,Ideal,F,VS2,62.0,57.0,6.78,6.76,4.2,8415
1.0,Ideal,G,VS1,62.9,57.0,6.36,6.32,3.99,6290
0.35,Good,G,SI1,63.8,54.0,4.48,4.46,2.85,669
1.01,Ideal,G,SI2,61.4,57.0,6.44,6.48,3.97,4803
0.76,Very Good,H,VS2,63.4,58.0,5.78,5.74,3.65,2517
0.41,Good,F,SI1,63.1,56.0,4.69,4.73,2.97,685
1.32,Premium,J,VS2,60.4,58.0,7.11,7.14,4.3,5800
0.73,Ideal,H,VS1,61.9,55.0,5.79,5.76,3.58,2919
0.41,Premium,F,SI2,59.0,58.0,4.87,4.89,2.88,604
0.5,Premium,E,VS2,58.6,60.0,5.21,5.16,3.04,1654
0.3,Ideal,G,VVS1,62.3,55.0,4.29,4.31,2.68,789
0.9,Fair,D,SI2,66.0,58.0,6.0,5.97,3.95,3205
0.51,Very Good,E,VS1,62.0,61.0,5.11,5.14,3.18,1636
0.31,Very Good,G,VVS1,62.8,53.0,4.34,4.36,2.73,816
0.42,Good,I,VVS1,59.2,61.0,4.88,4.91,2.9,867
1.14,Premium,G,SI1,62.7,58.0,6.68,6.63,4.17,5424
0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,4024
0.41,Ideal,D,VS1,61.1,56.0,4.8,4.83,2.94,1427
1.19,Ideal,E,SI2,61.9,56.0,6.8,6.84,4.22,5497
0.34,Premium,I,SI1,60.0,58.0,4.55,4.51,2.72,589
0.23,Very Good,E,VVS2,61.4,62.0,3.9,3.95,2.41,505
0.9,Ideal,E,SI2,62.0,55.0,6.23,6.15,3.84,3599
0.55,Ideal,F,VS2,61.7,56.0,5.3,5.26,3.26,1819
1.23,Very Good,H,VVS1,62.5,58.0,6.77,6.82,4.25,8405
1.57,Ideal,H,SI1,61.8,55.0,7.47,7.51,4.63,9416
1.5,Very Good,I,SI1,60.3,60.0,7.46,7.43,4.49,8127
2.06,Ideal,H,SI2,62.0,57.0,8.1,8.06,5.01,11040
1.5,Premium,H,VS2,60.0,62.0,7.41,7.38,4.44,11322
1.27,Very Good,D,SI1,62.5,58.0,6.87,6.92,4.31,8312
1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,6223
0.77,Very Good,J,SI2,61.3,58.0,5.84,5.91,3.6,2001
0.31,Ideal,D,VS2,61.0,54.0,4.38,4.44,2.69,656
0.9,Ideal,H,VS1,61.6,56.0,6.17,6.13,3.79,4592
0.43,Very Good,E,SI1,63.4,56.0,4.82,4.8,3.05,894
0.42,Premium,G,VS2,60.6,59.0,4.78,4.85,2.92,847
0.81,Ideal,G,VS1,62.3,57.0,5.99,5.95,3.72,3544
0.24,Premium,E,VVS1,60.7,58.0,4.03,4.01,2.44,710
0.31,Very Good,E,SI1,63.1,57.0,4.31,4.28,2.71,698
0.81,Ideal,G,VS2,61.5,55.0,6.0,6.06,3.71,3397
2.0,Very Good,H,SI1,60.3,61.0,8.11,8.17,4.91,16092
0.5,Very Good,G,VVS2,60.0,56.0,5.18,5.21,3.12,2260
1.12,Premium,G,SI2,61.2,58.0,6.69,6.67,4.09,4158
0.3,Ideal,H,VVS2,62.6,55.0,4.25,4.28,2.67,605
0.72,Very Good,G,SI2,61.9,59.0,5.67,5.71,3.52,2218
0.9,Very Good,H,SI2,59.6,59.0,6.38,6.24,3.76,3250
0.52,Ideal,E,VS1,62.6,57.0,5.11,5.15,3.21,1668
0.52,Ideal,G,VVS2,61.4,55.3,5.18,5.21,3.19,1957
1.0,Ideal,G,VS1,62.7,54.0,6.42,6.37,4.01,6465
0.5,Good,G,VS1,59.8,63.0,5.12,5.15,3.07,1645
0.55,Premium,I,VS2,61.7,55.0,5.35,5.29,3.28,1314
0.42,Ideal,G,VS2,60.8,57.0,4.85,4.82,2.94,1087
0.44,Premium,G,SI1,61.1,59.0,4.86,4.9,2.98,772
1.0,Premium,E,VS2,60.0,60.0,6.43,6.43,3.89,6720
0.31,Premium,G,VS2,60.9,58.0,4.35,4.38,2.66,544
0.44,Ideal,F,VVS2,60.9,55.0,4.96,4.92,3.01,1253
0.32,Ideal,F,VVS2,62.1,54.0,4.41,4.44,2.75,786
0.62,Ideal,G,VVS2,61.6,56.0,5.48,5.51,3.38,2861
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2106
0.96,Ideal,H,SI2,62.1,57.0,6.3,6.35,3.93,4213
0.24,Very Good,D,SI1,63.1,55.0,3.95,4.01,2.51,475
0.9,Premium,H,VS2,61.7,59.0,6.19,6.13,3.8,4191
0.9,Very Good,F,SI2,62.0,61.0,6.14,6.16,3.81,3770
1.01,Ideal,G,SI1,61.8,55.0,6.46,6.43,3.98,5141
0.33,Ideal,G,IF,62.7,56.0,4.39,4.44,2.77,861
0.33,Ideal,G,VVS1,60.4,58.0,4.5,4.51,2.72,802
1.4,Ideal,H,SI1,62.4,56.0,7.11,7.18,4.46,8075
2.13,Premium,I,SI1,62.5,60.0,8.18,8.13,5.1,13370
1.3,Ideal,G,IF,62.3,56.0,6.95,6.99,4.34,12467
1.01,Premium,G,VVS2,61.2,58.0,6.45,6.49,3.96,8016
0.57,Ideal,E,SI1,61.9,56.0,5.35,5.32,3.3,1728
0.27,Very Good,E,VVS1,59.9,57.0,4.23,4.25,2.54,620
1.41,Ideal,H,VS1,60.7,56.0,7.31,7.22,1.41,9752
0.25,Good,E,VS1,63.3,60.0,3.99,4.04,2.54,361
0.55,Very Good,G,VS1,62.0,57.0,5.25,5.3,3.27,1786
1.51,Ideal,F,SI1,62.3,57.0,7.33,7.3,4.56,12459
0.52,Ideal,G,SI1,62.6,56.0,5.16,5.13,3.22,1338
0.38,Ideal,I,SI1,61.5,56.0,4.67,4.7,2.88,668
0.31,Good,G,VVS2,63.8,56.0,4.24,4.28,2.72,707
0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2393
1.08,Very Good,G,SI2,60.3,58.0,6.65,6.72,4.03,4362
1.01,Premium,E,SI2,60.6,58.0,6.47,6.53,3.94,4044
0.7,Fair,E,SI1,64.4,53.0,5.61,5.57,3.6,2697
0.34,Ideal,I,SI1,61.9,57.0,4.49,4.52,2.79,459
1.02,Very Good,H,VS2,63.3,55.0,6.4,6.33,4.03,4604
1.01,Ideal,E,VS1,60.4,59.0,6.52,6.5,3.93,7458
0.57,Ideal,D,SI1,62.4,56.0,5.32,5.29,3.31,1847
0.5,Good,F,VS2,60.9,60.4,5.13,5.2,3.14,1565
0.5,Very Good,E,VS2,63.6,59.0,4.99,5.04,3.19,1446
0.5,Very Good,E,VS2,61.3,58.0,5.06,5.12,3.12,1624
0.41,Very Good,E,VVS2,63.1,58.0,4.75,4.72,2.99,1133
2.22,Ideal,J,VS1,61.8,59.0,8.34,8.37,5.16,16689
1.27,Ideal,F,VS2,62.8,56.0,6.9,6.86,4.32,6543
0.32,Ideal,E,SI1,62.2,54.0,4.38,4.4,2.73,516
1.11,Premium,F,SI1,60.4,58.0,6.68,6.66,4.03,4699
0.42,Premium,D,VVS2,62.8,59.0,4.76,4.73,2.98,1241
0.52,Ideal,G,VS1,62.3,55.0,5.16,5.14,3.21,1815
1.19,Premium,I,SI2,59.5,59.0,6.95,6.89,4.12,4498
1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,8683
0.52,Very Good,G,VVS1,60.9,56.0,5.18,5.24,3.17,1913
1.21,Ideal,I,VS1,61.5,56.0,6.83,6.87,4.22,6691
1.24,Very Good,J,VS1,59.1,62.0,7.06,7.04,4.17,5427
0.41,Very Good,E,SI1,61.8,60.0,4.74,4.78,2.94,705
1.05,Very Good,H,SI1,60.2,62.0,6.52,6.57,3.94,5047
1.5,Good,G,SI1,63.7,59.0,7.19,7.23,4.59,10428
0.42,Premium,F,VVS2,60.3,59.0,4.86,4.83,2.92,1221
1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,6945
0.91,Very Good,G,SI1,62.8,58.0,6.15,6.18,3.87,4045
1.22,Premium,F,VS2,59.8,59.0,6.96,6.92,4.15,8417
0.73,Ideal,G,SI1,60.6,57.0,5.84,5.87,3.55,3089
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1625
0.3,Very Good,F,VS2,63.0,55.0,4.28,4.29,2.7,524
